"createDt","deathCnt","defCnt","gubun","gubunCn","gubunEn","incDec","isolClearCnt","isolIngCnt","localOccCnt","overFlowCnt","qurRate","seq","stdDay","updateDt"
2020-12-27,"25","616","울산","蔚山","Ulsan","1","375","216","1","0","53.70","6646","2020년 12월 27일 00시","null"
2020-12-27,"6","786","대전","大田","Daejeon","8","646","134","8","0","53.32","6645","2020년 12월 27일 00시","null"
2020-12-27,"5","1037","광주","光州","Gwangju","17","803","229","17","0","71.19","6644","2020년 12월 27일 00시","null"
2020-12-27,"24","2654","인천","仁川","Incheon","61","1802","828","60","1","89.78","6643","2020년 12월 27일 00시","null"
2020-12-27,"201","7664","대구","大邱","Daegu","21","7184","279","21","0","314.55","6642","2020년 12월 27일 00시","null"
2020-12-27,"38","1704","부산","釜山","Busan","40","1206","460","40","0","49.94","6641","2020년 12월 27일 00시","null"
2020-12-27,"157","17430","서울","首<U+5C14>","Seoul","362","9589","7684","359","3","179.07","6640","2020년 12월 27일 00시","null"
2020-12-27,"808","56872","합계","合<U+8BA1>","Total","970","39040","17024","946","24","109.69","6639","2020년 12월 27일 00시","null"
2020-12-26,"1","2397","검역","隔離區","Lazaretto","10","1676","720","0","10","-","6638","2020년 12월 26일 00시","null"
2020-12-26,"0","374","제주","<U+6D4E>州","Jeju","24","126","248","24","0","55.76","6637","2020년 12월 26일 00시","null"
2020-12-26,"4","1182","경남","<U+5E86>南","Gyeongsangnam-do","22","847","331","22","0","35.16","6636","2020년 12월 26일 00시","null"
2020-12-26,"61","2270","경북","<U+5E86>北","Gyeongsangbuk-do","34","1762","447","33","1","85.26","6635","2020년 12월 26일 00시","null"
2020-12-26,"5","538","전남","全南","Jeollanam-do","6","455","78","6","0","28.85","6634","2020년 12월 26일 00시","null"
2020-12-26,"8","776","전북","全北","Jeollabuk-do","37","515","253","37","0","42.70","6633","2020년 12월 26일 00시","null"
2020-12-26,"22","1488","충남","忠南","Chungcheongnam-do","61","1021","445","61","0","70.11","6632","2020년 12월 26일 00시","null"
2020-12-26,"19","1019","충북","忠北","Chungcheongbuk-do","38","521","479","38","0","63.71","6631","2020년 12월 26일 00시","null"
2020-12-26,"13","1083","강원","江原","Gangwon-do","36","766","304","35","1","70.30","6630","2020년 12월 26일 00시","null"
2020-12-26,"212","13259","경기","京畿","Gyeonggi-do","255","9350","3697","250","5","100.07","6629","2020년 12월 26일 00시","null"
2020-12-26,"0","135","세종","世宗","Sejong","1","125","10","1","0","39.44","6628","2020년 12월 26일 00시","null"
2020-12-26,"24","615","울산","蔚山","Ulsan","8","375","216","8","0","53.62","6627","2020년 12월 26일 00시","null"
2020-12-26,"6","778","대전","大田","Daejeon","11","625","147","11","0","52.78","6626","2020년 12월 26일 00시","null"
2020-12-26,"5","1020","광주","光州","Gwangju","28","802","213","27","1","70.02","6625","2020년 12월 26일 00시","null"
2020-12-26,"23","2593","인천","仁川","Incheon","55","1750","820","55","0","87.72","6624","2020년 12월 26일 00시","null"
2020-12-26,"201","7643","대구","大邱","Daegu","13","7169","273","13","0","313.69","6623","2020년 12월 26일 00시","null"
2020-12-26,"34","1664","부산","釜山","Busan","27","1167","463","26","1","48.77","6622","2020년 12월 26일 00시","null"
2020-12-26,"155","17068","서울","首<U+5C14>","Seoul","466","9480","7433","457","9","175.35","6621","2020년 12월 26일 00시","null"
2020-12-26,"793","55902","합계","合<U+8BA1>","Total","1132","38532","16577","1104","28","107.82","6620","2020년 12월 26일 00시","null"
2020-12-25,"1","2387","검역","隔離區","Lazaretto","6","1661","725","0","6","-","6619","2020년 12월 25일 00시","null"
2020-12-25,"0","350","제주","<U+6D4E>州","Jeju","20","118","232","20","0","52.18","6618","2020년 12월 25일 00시","null"
2020-12-25,"3","1160","경남","<U+5E86>南","Gyeongsangnam-do","15","834","323","14","1","34.51","6617","2020년 12월 25일 00시","null"
2020-12-25,"61","2236","경북","<U+5E86>北","Gyeongsangbuk-do","67","1758","417","67","0","83.98","6616","2020년 12월 25일 00시","null"
2020-12-25,"5","532","전남","全南","Jeollanam-do","5","454","73","4","1","28.53","6615","2020년 12월 25일 00시","null"
2020-12-25,"8","739","전북","全北","Jeollabuk-do","14","495","236","12","2","40.66","6614","2020년 12월 25일 00시","null"
2020-12-25,"22","1427","충남","忠南","Chungcheongnam-do","80","1015","390","79","1","67.23","6613","2020년 12월 25일 00시","null"
2020-12-25,"18","981","충북","忠北","Chungcheongbuk-do","42","516","447","42","0","61.34","6612","2020년 12월 25일 00시","null"
2020-12-25,"13","1047","강원","江原","Gangwon-do","14","754","280","13","1","67.96","6611","2020년 12월 25일 00시","null"
2020-12-25,"207","13004","경기","京畿","Gyeonggi-do","264","9192","3605","257","7","98.14","6610","2020년 12월 25일 00시","null"
2020-12-25,"0","134","세종","世宗","Sejong","1","124","10","1","0","39.14","6609","2020년 12월 25일 00시","null"
2020-12-25,"24","607","울산","蔚山","Ulsan","12","366","217","12","0","52.92","6608","2020년 12월 25일 00시","null"
2020-12-25,"6","767","대전","大田","Daejeon","13","622","139","13","0","52.03","6607","2020년 12월 25일 00시","null"
2020-12-25,"4","992","광주","光州","Gwangju","36","795","193","35","1","68.10","6606","2020년 12월 25일 00시","null"
2020-12-25,"21","2538","인천","仁川","Incheon","55","1726","791","55","0","85.86","6605","2020년 12월 25일 00시","null"
